Rk,Season,Decade Year,Conf,W Overal,L Overal,W-L% Overal,W Conference,L Conference,W-L% Conference,SRS,SOS,PTS,PTS,AP Pre,AP High,AP Final,NCAA Tournament,Seed,Coach(es)
22,1998,9,Big Ten,12,19*,0.387,5,11,0.313,8.52,11.71,65.6,68.8,,,,,,Brian Ellerbe (12-19)
23,1997,8,Big Ten,25,9*,0.735,11,5,0.688,18.79,9.64,77.4,67.2,,12,12,Lost Second Round*,3,Brian Ellerbe (25-9)
24,1996,7,Big Ten,24,11*,0.686,9,9,0.5,16.73,10.53,74.1,68,9,4,,,,Steve Fisher (24-11)
25,1995,6,Big Ten,21,11*,0.656,10*,8*,0.556,15.02,8.55,71.3,64.9,17,16,,Lost First Round*,7,Steve Fisher (21-11)
26,1994,5,Big Ten,17,14,0.548,11,7,0.611,9.77,8.9,70.6,69.7,16,13,,Lost First Round,9,Steve Fisher (17-14)
27,1993,4,Big Ten,24,8,0.75,13,5,0.722,17.91,12.04,79.4,73.5,5,3,11,Lost Regional Final,3,Steve Fisher (24-8)
28,1992,3,Big Ten,31,5*,0.861,15,3,0.833,22.03,11.89,81.9,71.8,1,1,3,Lost National Final*,1,Steve Fisher (31-5)
29,1991,2,Big Ten,25,9*,0.735,11,7,0.611,18.75,12.25,77.9,71.4,20,11,15,Lost National Final*,6,Steve Fisher (25-9)
30,1990,1,Big Ten,14,15,0.483,7,11,0.389,8.46,8.53,72.9,72.9,,,,,,Steve Fisher (14-15)
31,1989,10,Big Ten,23,8,0.742,12,6,0.667,18.14,10.27,86.2,77.5,4,3,13,Lost Second Round,3,Steve Fisher (23-8)
32,1988,9,Big Ten,30,7,0.811,12,6,0.667,27.63,12.06,91.7,74.8,3,2,10,Won National Final,3,"Bill Frieder (24-7), Steve Fisher (6-0)"
33,1987,8,Big Ten,26,8,0.765,13,5,0.722,22.42,9.06,87.4,73.8,9,7,10,Lost Regional Semifinal,3,Bill Frieder (26-8)
34,1986,7,Big Ten,20,12,0.625,10,8,0.556,15.04,8.74,88.2,79.3,,,,Lost Second Round,9,Bill Frieder (20-12)
35,1985,6,Big Ten,28,5,0.848,14,4,0.778,21.88,9.55,77.9,64.8,3,2,5,Lost Second Round,2,Bill Frieder (28-5)
36,1984,5,Big Ten,26,4,0.867,16,2,0.889,18.6,8.67,78.2,68.6,,2,2,Lost Second Round,1,Bill Frieder (26-4)
37,1983,4,Big Ten,24,9,0.727,10*,8*,0.556,13.24,7.34,68.5,62.2,,15,,,,Bill Frieder (24-9)
38,1982,3,Big Ten,15,13,0.536,6*,12*,0.333,7.13,5.17,72,70,,,,,,Bill Frieder (15-13)
39,1981,2,Big Ten,7,20,0.259,6*,12*,0.333,-0.41,5.71,61.9,67,,,,,,Bill Frieder (7-20)
40,1980,1,Big Ten,19,11,0.633,8,10,0.444,12.26,7.81,76.1,70.6,,9,,,,Bill Frieder (19-11)
41,1979,10,Big Ten,17,13,0.567,8,10,0.444,13.71,9.64,72.3,68.8,,,,,,Johnny Orr (17-13)
42,1978,9,Big Ten,15,12,0.556,8,10,0.444,10.8,9.36,70.6,69.1,8,6,,,,Johnny Orr (15-12)
43,1977,8,Big Ten,16,11,0.593,11,7,0.611,9.79,6.64,77.9,74.8,13,9,,,,Johnny Orr (16-11)
44,1976,7,Big Ten,26,4,0.867,16,2,0.889,16.61,5.44,85.1,74,1,1,1,Lost Regional Final,,Johnny Orr (26-4)
45,1975,6,Big Ten,25,7,0.781,14,4,0.778,18.25,8.97,86,76.8,16,9,9,Lost National Final,,Johnny Orr (25-7)
